날짜,평균기온,최저기온,최고기온,평균상대습도,target
2019-10-05,19.1,17,21.4,78,29882.88
2019-10-06,18.3,14.6,22.5,60,20745.54
2019-10-07,15.6,14.3,17.3,84,35421.48
2019-10-08,16,12.8,22.3,63,35990.28
2019-10-09,13.9,7.8,20.3,58,36688.68
2019-10-10,14.4,10.2,18.2,68,35352.9
2019-10-11,17.6,11.6,24.7,66,34367.94
2019-10-12,18.3,14.3,24.4,57,24608.88
2019-10-13,16.7,11.2,22.7,60,16453.8
2019-10-14,14.9,11.6,20.1,65,35848.08
2019-10-15,14.8,9.8,20.2,61,35616.24
2019-10-16,14.9,9.4,20.3,66,35793.36
2019-10-17,15.4,11.1,20.7,66,38144.16
2019-10-18,16.3,11.5,21.3,68,36350.82
2019-10-19,17.4,12.5,23,66,30458.34
2019-10-20,15.6,11,22,71,21790.08
2019-10-21,16.4,10.1,23.7,67,34857.72
2019-10-22,17.4,11.8,23.8,63,37663.74
2019-10-23,17.1,13.3,20.2,63,38906.64
2019-10-24,18.8,15.5,23.2,51,36485.64
2019-10-25,17.7,13.3,22.7,59,31547.34
2019-10-26,12.3,9.1,16.1,60,21362.22
2019-10-27,11.1,6,17.1,63,15162.66
2019-10-28,12.4,5.8,18,61,31500
2019-10-29,13.8,10.6,18.2,65,34364.7
2019-10-30,11.9,6.9,17.5,64,33712.38
2019-10-31,13.7,6.4,20.1,72,32306.22
2019-11-01,15.5,11.6,20.9,61,33261.12
2019-11-02,14.2,8.6,19.3,70,30287.52
2019-11-03,14.7,11,20.2,69,19792.08
2019-11-04,14.2,9.5,20,61,31541.04
2019-11-05,12.4,7.4,18.5,70,34040.16
2019-11-06,11.5,5.9,16.8,70,33916.32
2019-11-07,11,6.6,16.2,56,33384.78
2019-11-08,7.5,1.3,13.6,48,29899.44
2019-11-09,8.6,1.6,16.3,51,17860.32
2019-11-10,9.3,3.7,15.6,66,14201.1
2019-11-11,11.3,8.6,15.6,79,31368.06
2019-11-12,9.7,4.5,15.5,74,33638.94
2019-11-13,7.9,4.5,11.8,78,35206.92
2019-11-14,3.3,0.6,7.4,36,33133.5
2019-11-15,9.6,-0.5,16.7,64,31809.06
2019-11-16,10.7,7.5,13.6,84,25691.58
2019-11-17,9.2,5,13.3,91,16186.32
2019-11-18,7.3,1.8,13.8,68,31828.86
2019-11-19,2.5,0.3,5.9,65,32439.96
2019-11-20,2.4,-1.7,7.3,51,34122.96
2019-11-21,4.5,-2.3,10.2,50,31242.06
2019-11-22,10.2,4.1,17.6,52,29467.44
2019-11-23,11.7,6.1,18,69,21205.08
2019-11-24,12.2,8,20.1,74,10989.18
2019-11-25,3.5,1.2,8,66,28920.78
2019-11-26,7.7,1.6,14.1,68,32385.6
2019-11-27,5.7,2.7,8.6,51,31237.92
2019-11-28,4.8,0,11.4,62,31543.2
2019-11-29,3.7,0.4,9,46,31510.8
2019-11-30,5.1,-1,12.1,50,23092.92
2019-12-01,6.4,5.5,7.9,75,12830.76
2019-12-02,2.7,-0.3,6.1,57,29635.38
2019-12-03,1.6,-2.1,5.4,73,31395.96
2019-12-04,5.3,2.5,9.7,61,33047.82
2019-12-05,-0.9,-5.4,3.7,45,31595.4
2019-12-06,-4.2,-8.2,0.4,43,30463.92
2019-12-07,-0.9,-6.2,4.6,61,27770.04
2019-12-08,0.6,-4.4,5.9,64,14947.74
2019-12-09,2.5,-3.3,8.8,66,29133
2019-12-10,7.7,2.8,13.4,73,32786.64
2019-12-11,6.7,3.4,11,69,33470.28
2019-12-12,1.4,-1,4.8,48,34535.16
2019-12-13,1.3,-4.5,6.4,48,31193.1
2019-12-14,3.8,1.5,7.5,59,20481.12
2019-12-15,5.4,-1.2,12.8,62,13566.78
2019-12-16,8,2,14.6,68,28175.58
2019-12-17,7.4,5.6,10,86,34162.56
2019-12-18,3,1.1,6.5,67,33663.96
2019-12-19,1.1,-1.6,4.9,47,33098.22
2019-12-20,0.6,-1.8,4.1,62,32371.56
2019-12-21,0.3,-5.2,5.9,66,26209.08
2019-12-22,3.7,-0.5,8.8,68,15551.82
2019-12-23,4.1,1.2,6.7,74,31262.22
2019-12-24,0,-2.5,5.4,82,32484.6
2019-12-25,0.5,-5,6.7,74,30872.16
2019-12-26,2,0.4,3,74,32131.08
2019-12-27,0.1,-2.2,4.2,56,30547.8
2019-12-28,0.6,-5,7.3,59,25571.16
2019-12-29,2.2,-1.9,5,73,15176.34
2019-12-30,3.8,-1.3,7.4,83,29924.46
2019-12-31,-5.7,-8,-1.4,56,33639.84
2020-01-01,-2.1,-7,1.5,72,32985.9
2020-01-02,1.6,-0.9,3.7,76,32809.86
2020-01-03,1.9,-0.4,6,69,30836.16
2020-01-04,1.3,-3.5,7.1,68,25650
2020-01-05,1.4,-4,6.4,60,14118.3
2020-01-06,2.9,0.6,4.8,80,29940.84
2020-01-07,7.9,4.5,13.3,96,34571.7
2020-01-08,4.4,2.5,11.3,85.5,34832.52
2020-01-09,1.1,-1,3.9,68.5,33644.52
2020-01-10,0.5,-3.3,5.6,70,32329.62
2020-01-11,1.2,-2.8,6.3,68.3,25570.08
2020-01-12,1.1,-0.6,4.5,63.9,16070.4
2020-01-13,-0.4,-2,2.6,61.3,30085.74
2020-01-14,-0.4,-3.5,3.7,55,33624.18
2020-01-15,-0.8,-3.8,2.8,59,34401.78
2020-01-16,-0.7,-4.2,4.3,54,33942.42
2020-01-17,-0.1,-3.6,5,53.8,33709.32
2020-01-18,1,-3.6,6.5,49.3,31784.76
2020-01-19,2.5,-1.5,8.2,59.8,27871.56
2020-01-20,2.3,-1,7,59.6,33205.14
2020-01-21,0.6,-3.8,5.5,39,32743.08
2020-01-22,2.3,0.1,3.9,50.6,32058.72
2020-01-23,6,2.9,12.1,52.3,20697.48
2020-01-24,4.6,0.2,10.3,64.3,11307.24
2020-01-25,5.1,0.6,10.1,71.6,10677.96
2020-01-26,6.7,1.2,12,63.5,10944.54
2020-01-27,5.7,3.2,8.2,67.5,13846.86
2020-01-28,6.9,3.2,10.6,67,24989.04
2020-01-29,6.5,3.7,10.4,56.6,31730.76
2020-01-30,6.3,3.4,10.1,50.6,31381.74
2020-01-31,4.4,1.6,7.9,63,30119.4
2020-02-01,2.9,-0.7,7,70.5,25020.72
2020-02-02,2.3,-1,6.3,66.5,13047.66
2020-02-03,1.4,-1.4,4.9,52.6,25769.52
2020-02-04,0.4,-5.2,6.1,55.3,31479.66
2020-02-05,-5.2,-7.8,-0.5,43.1,31410
2020-02-06,-5,-10,-0.3,41,30519.36
2020-02-07,-1.2,-7,3.3,51.8,29782.44
2020-02-08,1.3,-1.1,5,53,22839.3
2020-02-09,0.4,-5.4,5.3,53.3,11908.62
2020-02-10,5,0.2,11.3,50.6,25517.7
2020-02-11,7,-1.3,15,42.9,32752.98
2020-02-12,7.4,5,9.3,83.9,30041.28
2020-02-13,8.7,6,11.8,80.6,34321.86
2020-02-14,6.7,3.4,12.8,81,30264.84
2020-02-15,9.9,3.5,16.4,70.6,20758.32
2020-02-16,0.5,-2.8,7.5,79.3,12268.98
2020-02-17,-4,-6.7,-1,72.9,24521.76
